                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.040000	       0.000000	       0.000000	       0.000000	       0.000000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       4.910000	       0.000000	       0.000000	       0.360000	       0.800000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
