                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
copy lib, records: 50, bytes: 1:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
copy sys, records: 50, bytes: 1:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
sort lib, records: 50, bytes: 1:		       0.040000	       0.000000	       0.000000	       0.010000	       0.030000	
sort sys, records: 50, bytes: 1:		       0.040000	       0.000000	       0.000000	       0.010000	       0.030000	
copy lib, records: 100, bytes: 1:		       0.010000	       0.000000	       0.000000	       0.010000	       0.000000	
copy sys, records: 100, bytes: 1:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 100, bytes: 1:		       0.130000	       0.000000	       0.000000	       0.030000	       0.090000	
sort sys, records: 100, bytes: 1:		       0.100000	       0.000000	       0.000000	       0.010000	       0.080000	
copy lib, records: 50, bytes: 4:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
copy sys, records: 50, bytes: 4:		       0.000000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 50, bytes: 4:		       0.050000	       0.000000	       0.000000	       0.010000	       0.030000	
sort sys, records: 50, bytes: 4:		       0.030000	       0.000000	       0.000000	       0.010000	       0.020000	
copy lib, records: 100, bytes: 4:		       0.010000	       0.000000	       0.000000	       0.010000	       0.000000	
copy sys, records: 100, bytes: 4:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 100, bytes: 4:		       0.130000	       0.000000	       0.000000	       0.030000	       0.090000	
sort sys, records: 100, bytes: 4:		       0.100000	       0.000000	       0.000000	       0.010000	       0.080000	
copy lib, records: 50, bytes: 512:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
copy sys, records: 50, bytes: 512:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 50, bytes: 512:		       0.040000	       0.000000	       0.000000	       0.010000	       0.020000	
sort sys, records: 50, bytes: 512:		       0.040000	       0.000000	       0.000000	       0.010000	       0.030000	
copy lib, records: 100, bytes: 512:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
copy sys, records: 100, bytes: 512:		       0.010000	       0.000000	       0.000000	       0.010000	       0.010000	
sort lib, records: 100, bytes: 512:		       0.120000	       0.000000	       0.000000	       0.030000	       0.090000	
sort sys, records: 100, bytes: 512:		       0.100000	       0.000000	       0.010000	       0.010000	       0.070000	
copy lib, records: 50, bytes: 1024:		       0.010000	       0.000000	       0.000000	       0.010000	       0.000000	
copy sys, records: 50, bytes: 1024:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 50, bytes: 1024:		       0.040000	       0.000000	       0.000000	       0.010000	       0.030000	
sort sys, records: 50, bytes: 1024:		       0.040000	       0.000000	       0.000000	       0.010000	       0.030000	
copy lib, records: 100, bytes: 1024:		       0.020000	       0.000000	       0.000000	       0.000000	       0.010000	
copy sys, records: 100, bytes: 1024:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 100, bytes: 1024:		       0.120000	       0.000000	       0.000000	       0.030000	       0.090000	
sort sys, records: 100, bytes: 1024:		       0.100000	       0.000000	       0.000000	       0.020000	       0.080000	
copy lib, records: 50, bytes: 4096:		       0.010000	       0.000000	       0.000000	       0.010000	       0.000000	
copy sys, records: 50, bytes: 4096:		       0.000000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 50, bytes: 4096:		       0.040000	       0.000000	       0.000000	       0.010000	       0.020000	
sort sys, records: 50, bytes: 4096:		       0.030000	       0.000000	       0.000000	       0.000000	       0.030000	
copy lib, records: 100, bytes: 4096:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
copy sys, records: 100, bytes: 4096:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 100, bytes: 4096:		       0.120000	       0.000000	       0.000000	       0.030000	       0.080000	
sort sys, records: 100, bytes: 4096:		       0.080000	       0.000000	       0.000000	       0.020000	       0.070000	
copy lib, records: 50, bytes: 8192:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
copy sys, records: 50, bytes: 8192:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 50, bytes: 8192:		       0.040000	       0.000000	       0.000000	       0.010000	       0.030000	
sort sys, records: 50, bytes: 8192:		       0.030000	       0.000000	       0.000000	       0.010000	       0.020000	
copy lib, records: 100, bytes: 8192:		       0.020000	       0.000000	       0.000000	       0.010000	       0.010000	
copy sys, records: 100, bytes: 8192:		       0.010000	       0.000000	       0.000000	       0.000000	       0.010000	
sort lib, records: 100, bytes: 8192:		       0.120000	       0.000000	       0.000000	       0.030000	       0.090000	
sort sys, records: 100, bytes: 8192:		       0.090000	       0.000000	       0.000000	       0.010000	       0.070000	
