                          Name		       Real [s]	       User [s]	     System [s]
copy lib, records: 500, bytes: 1:		       0.060000	       0.000000	       0.040000
copy sys, records: 500, bytes: 1:		       0.050000	       0.000000	       0.030000
sort lib, records: 500, bytes: 1:		       3.070000	       0.640000	       2.060000
sort sys, records: 500, bytes: 1:		       1.940000	       0.300000	       1.550000
copy lib, records: 2000, bytes: 1:		       0.150000	       0.020000	       0.120000
copy sys, records: 2000, bytes: 1:		       0.140000	       0.010000	       0.120000
sort lib, records: 2000, bytes: 1:		      37.150000	       9.250000	      27.150000
sort sys, records: 2000, bytes: 1:		      28.490000	       4.790000	      23.060000
copy lib, records: 500, bytes: 4:		       0.040000	       0.000000	       0.030000
copy sys, records: 500, bytes: 4:		       0.040000	       0.000000	       0.030000
sort lib, records: 500, bytes: 4:		       2.440000	       0.590000	       1.780000
sort sys, records: 500, bytes: 4:		       1.960000	       0.310000	       1.560000
copy lib, records: 2000, bytes: 4:		       0.170000	       0.020000	       0.130000
copy sys, records: 2000, bytes: 4:		       0.130000	       0.010000	       0.120000
sort lib, records: 2000, bytes: 4:		      36.690000	       9.160000	      26.800000
sort sys, records: 2000, bytes: 4:		      30.340000	       4.720000	      23.760000
copy lib, records: 500, bytes: 512:		       0.060000	       0.000000	       0.040000
copy sys, records: 500, bytes: 512:		       0.040000	       0.000000	       0.030000
sort lib, records: 500, bytes: 512:		       2.690000	       0.620000	       1.930000
sort sys, records: 500, bytes: 512:		       1.910000	       0.310000	       1.540000
copy lib, records: 2000, bytes: 512:		       0.340000	       0.020000	       0.180000
copy sys, records: 2000, bytes: 512:		       0.140000	       0.010000	       0.120000
sort lib, records: 2000, bytes: 512:		      40.370000	       9.520000	      29.040000
sort sys, records: 2000, bytes: 512:		      29.990000	       4.730000	      23.900000
copy lib, records: 500, bytes: 1024:		       0.040000	       0.000000	       0.030000
copy sys, records: 500, bytes: 1024:		       0.030000	       0.000000	       0.030000
sort lib, records: 500, bytes: 1024:		       2.430000	       0.580000	       1.770000
sort sys, records: 500, bytes: 1024:		       1.740000	       0.290000	       1.410000
copy lib, records: 2000, bytes: 1024:		       0.290000	       0.020000	       0.170000
copy sys, records: 2000, bytes: 1024:		       0.150000	       0.010000	       0.130000
sort lib, records: 2000, bytes: 1024:		      37.160000	       9.450000	      27.200000
sort sys, records: 2000, bytes: 1024:		      28.100000	       4.630000	      22.940000
copy lib, records: 500, bytes: 4096:		       0.040000	       0.000000	       0.030000
copy sys, records: 500, bytes: 4096:		       0.030000	       0.000000	       0.030000
sort lib, records: 500, bytes: 4096:		       2.970000	       0.630000	       1.970000
sort sys, records: 500, bytes: 4096:		       2.460000	       0.320000	       1.790000
copy lib, records: 2000, bytes: 4096:		       0.300000	       0.020000	       0.180000
copy sys, records: 2000, bytes: 4096:		       0.190000	       0.010000	       0.160000
sort lib, records: 2000, bytes: 4096:		      38.480000	       9.490000	      28.300000
sort sys, records: 2000, bytes: 4096:		      30.310000	       4.710000	      23.810000
copy lib, records: 500, bytes: 8192:		       0.090000	       0.000000	       0.060000
copy sys, records: 500, bytes: 8192:		       0.040000	       0.000000	       0.030000
sort lib, records: 500, bytes: 8192:		       3.040000	       0.660000	       2.090000
sort sys, records: 500, bytes: 8192:		       1.780000	       0.290000	       1.460000
copy lib, records: 2000, bytes: 8192:		       0.220000	       0.020000	       0.170000
copy sys, records: 2000, bytes: 8192:		       0.230000	       0.010000	       0.190000
sort lib, records: 2000, bytes: 8192:		      43.720000	       9.970000	      30.870000
sort sys, records: 2000, bytes: 8192:		      35.800000	       4.960000	      26.850000
