static:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.590000	       0.000000	       0.000000	       0.240000	       0.350000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
shared:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.040000	       0.000000	       0.000000	       0.010000	       0.020000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.590000	       0.000000	       0.000000	       0.280000	       0.310000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
dynamic:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.040000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.580000	       0.000000	       0.000000	       0.250000	       0.330000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
