static O1:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.570000	       0.000000	       0.000000	       0.250000	       0.320000	
             big load to array:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static O2:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.580000	       0.000000	       0.000000	       0.260000	       0.320000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static: O3
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.600000	       0.000000	       0.000000	       0.260000	       0.330000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static: Ofast
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.040000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.570000	       0.000000	       0.000000	       0.250000	       0.330000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static: Os
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.600000	       0.000000	       0.000000	       0.250000	       0.340000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static: O0
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  small search:		       0.010000	       0.000000	       0.000000	       0.000000	       0.000000	
           small load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 medium search:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
          medium load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    big search:		       0.570000	       0.000000	       0.000000	       0.230000	       0.340000	
             big load to array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
